Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2022-05-02,275.1893615722656,275.6440293239036,267.2085121919129,268.6498925117606,35151100
2022-05-03,272.58709716796875,274.8604357472129,271.01027020615345,274.69596890447576,25978600
2022-05-04,280.5195617675781,281.3901938245139,267.7018362258143,273.3706425590282,33599300
2022-05-05,268.3016357421875,277.00801637510676,265.38982566126134,276.2244444799009,43260400
2022-05-06,265.7670593261719,270.13958558945643,262.4199191226848,265.84443636998407,37780300
2022-05-09,255.94825744628906,263.4744394387105,254.72938410241275,261.2494870702996,47726000
2022-05-10,260.7077331542969,264.8190795955056,256.42226618437826,262.8262881528178,39336400
2022-05-11,252.0496826171875,262.50700973823547,250.84046320428226,257.01232381126397,48975900
2022-05-12,247.01937866210938,251.4015891851371,241.86326466522425,249.28303414533278,51033800
2022-05-13,252.60110473632812,254.45847882495977,247.0193583116015,248.95410945636132,34925100
2022-05-16,252.96873474121094,257.14780467191986,247.43534479276178,251.47896796071555,32550900
2022-05-17,258.11517333984375,259.5758904699336,253.8974002308721,257.42831538498064,28828800
2022-05-18,246.36329650878906,255.59416717330026,245.0930851004618,255.01238395336077,31356000
2022-05-19,245.4518280029297,249.8442599742027,244.23010107031448,246.1887405470746,32692300
2022-05-20,244.88943481445312,250.68782539404745,238.9553115969885,249.42729026419417,39199300
2022-05-23,252.73365783691406,253.5578479645015,245.73293901541288,247.73038611581396,33175400
2022-05-24,251.73500061035156,253.39305741677543,245.80087764780725,250.05756188241344,29043900
2022-05-25,254.54689025878906,256.54432281411886,249.3206074747264,250.29994183298533,28547900
2022-05-26,257.82427978515625,258.9975222921612,253.49003807090028,254.30452267342017,25002100
2022-05-27,264.94134521484375,265.03831400617037,259.43386111985046,260.32593257304654,26910800
2022-05-31,263.6129455566406,266.4248628217989,260.76223485872504,264.25290403889915,37827700
2022-06-01,264.146240234375,269.25617238114495,261.83851939689276,266.84180659959077,25292200
2022-06-02,266.2406921386719,266.3085732639041,253.65492786980764,256.4183761716005,44008200
2022-06-03,261.8191223144531,265.14497113506803,260.25803436231683,262.10032291361057,28059000
2022-06-06,260.5877380371094,265.85281527967646,259.10420716791305,263.79720697367605,22400300
2022-06-07,264.2237854003906,264.8346561341794,257.863024346633,258.54177618211287,22860700
2022-06-08,262.1973876953125,264.70872331433014,261.4216667223713,263.45789358908894,17372300
2022-06-09,256.74798583984375,264.4274283960142,256.59284170053377,259.64716611698157,26439700
2022-06-10,245.30638122558594,252.66584504493977,244.86034549346968,252.66584504493977,31422800
2022-06-13,234.90225219726562,241.45695191998857,234.1944273628666,237.66570001230667,46135800
2022-06-14,237.06454467773438,238.27658064725975,234.17504027372604,236.4536738145781,28651500
2022-06-15,244.11370849609375,247.54620227137175,238.9358949520811,240.76849254553994,33111700
2022-06-16,237.5299530029297,239.90554045067185,235.6391799239251,238.5092727014499,33169200
2022-06-17,240.12855529785156,242.892003168209,236.61850393867869,237.26815342919429,43084800
2022-06-21,246.0336151123047,247.0129348663082,241.93207466775263,242.6592962620597,29928300
2022-06-22,245.44210815429688,249.35941623749332,242.76592357588206,244.23976328606997,25939900
2022-06-23,250.99810791015625,251.4926280887529,245.92696800307291,247.80805032436228,25861400
2022-06-24,259.56964111328125,259.84113599314713,253.77125024741073,253.85851328836165,33923200
2022-06-27,256.844970703125,260.1513786610391,255.28385304721854,260.06411562547476,24615100
2022-06-28,248.6903839111328,258.8036043245108,248.53523976557486,255.9625992863611,27295500
2022-06-29,252.3555908203125,254.01364771630867,247.9922466002197,249.76666900838734,20069800
2022-06-30,249.0297393798828,251.64774884681984,245.21910548593416,249.24305888897192,31730900
